,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url
51461,명동사주카페샤프,커피점/카페,사주카페,비알콜 음료점업,명동,37.56108307,126.9833292,명동사주카페샤프 커피점 카페 사주카페 비알콜 음료점업,명동%20명동사주카페샤프,https://m.place.naver.com/restaurant/1128705244
51741,달인겉절이칼국수·보쌈,분식,국수/만두/칼국수,분식 및 김밥 전문점,명동,37.56563848,126.9881233,달인겉절이칼국수·보쌈 분식 국수 만두 칼국수 분식 및 김밥 전문점,명동%20달인겉절이칼국수·보쌈,https://m.place.naver.com/restaurant/38256956
52160,내림손삼계탕,닭/오리요리,삼계탕전문,한식 음식점업,명동,37.5646404,126.9852164,내림손삼계탕 닭 오리요리 삼계탕전문 한식 음식점업,명동%20내림손삼계탕,https://m.place.naver.com/restaurant/11590682
52394,벤츠,유흥주점,룸살롱/단란주점,일반유흥 주점업,명동,37.56798401,126.9811186,벤츠 유흥주점 룸살롱 단란주점 일반유흥 주점업,명동%20벤츠,https://m.place.naver.com/restaurant/1297147465
52446,엔제리너스,한식,한식/백반/한정식,한식 음식점업,명동,37.56139358,126.9869583,엔제리너스 한식 한식 백반 한정식 한식 음식점업,명동%20엔제리너스,https://m.place.naver.com/restaurant/12785727
52582,뚝심한우,한식,갈비/삼겹살,한식 음식점업,명동,37.56330238,126.9857439,뚝심한우 한식 갈비 삼겹살 한식 음식점업,명동%20뚝심한우,https://m.place.naver.com/restaurant/1752326511
52810,행복전집,한식,한식/백반/한정식,한식 음식점업,명동,37.56783732,126.9808263,행복전집 한식 한식 백반 한정식 한식 음식점업,명동%20행복전집,https://m.place.naver.com/restaurant/1494314398
52897,바스버거,패스트푸드,패스트푸드,그외 기타 음식점업,명동,37.56809782,126.9796907,바스버거 패스트푸드 패스트푸드 그외 기타 음식점업,명동%20바스버거,https://m.place.naver.com/restaurant/36383704
52936,커피디엔에이팩토리,한식,한식/백반/한정식,한식 음식점업,명동,37.56761415,126.9884022,커피디엔에이팩토리 한식 한식 백반 한정식 한식 음식점업,명동%20커피디엔에이팩토리,https://m.place.naver.com/restaurant/1255923335
53142,본죽,별식/퓨전요리,죽전문점,한식 음식점업,명동,37.56434124,126.9850054,본죽 별식 퓨전요리 죽전문점 한식 음식점업,명동%20본죽,https://m.place.naver.com/restaurant/11727079
53169,왕비집2호점,한식,한식/백반/한정식,한식 음식점업,명동,37.56440226,126.9847669,왕비집2호점 한식 한식 백반 한정식 한식 음식점업,명동%20왕비집2호점,https://m.place.naver.com/restaurant/19866576
53326,왕비집,한식,갈비/삼겹살,한식 음식점업,명동,37.56106587,126.9823786,왕비집 한식 갈비 삼겹살 한식 음식점업,명동%20왕비집,https://m.place.naver.com/restaurant/19866576
53529,을지황소곱창,한식,곱창/양구이전문,한식 음식점업,명동,37.56191383,126.9898376,을지황소곱창 한식 곱창 양구이전문 한식 음식점업,명동%20을지황소곱창,https://m.place.naver.com/restaurant/35228622
53531,커피베이한국관광공사서울센터점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56851986,126.9816094,커피베이한국관광공사서울센터점 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20커피베이한국관광공사서울센터점,https://m.place.naver.com/restaurant/37454442
53566,커피광,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56437048,126.9884121,커피광 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20커피광,https://m.place.naver.com/restaurant/19982143
53574,가무,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56298658,126.9835976,가무 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20가무,https://m.place.naver.com/restaurant/19873009
53599,승승장구,한식,한식/백반/한정식,한식 음식점업,명동,37.55955172,126.9844253,승승장구 한식 한식 백반 한정식 한식 음식점업,명동%20승승장구,https://m.place.naver.com/restaurant/1677839042
53958,하남돼지집,한식,갈비/삼겹살,한식 음식점업,명동,37.56515184,126.9839191,하남돼지집 한식 갈비 삼겹살 한식 음식점업,명동%20하남돼지집,https://m.place.naver.com/restaurant/37720886
54310,보리밥,한식,보리밥전문,한식 음식점업,명동,37.56698417,126.98849,보리밥 한식 보리밥전문 한식 음식점업,명동%20보리밥,https://m.place.naver.com/restaurant/11731352
54332,유아히어명동본점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56488634,126.9844773,유아히어명동본점 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20유아히어명동본점,https://m.place.naver.com/restaurant/779058538
54621,다락방,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56679211,126.9818706,다락방 분식 라면김밥분식 분식 및 김밥 전문점,명동%20다락방,https://m.place.naver.com/restaurant/20908119
54772,고기랑,한식,한식/백반/한정식,한식 음식점업,명동,37.56192912,126.9874151,고기랑 한식 한식 백반 한정식 한식 음식점업,명동%20고기랑,https://m.place.naver.com/restaurant/31575683
54836,맥주바켓,유흥주점,호프/맥주,기타 주점업,명동,37.56680753,126.9794819,맥주바켓 유흥주점 호프 맥주 기타 주점업,명동%20맥주바켓,https://m.place.naver.com/restaurant/1741332645
54849,식당진,한식,한식/백반/한정식,한식 음식점업,명동,37.56062371,126.9864933,식당진 한식 한식 백반 한정식 한식 음식점업,명동%20식당진,https://m.place.naver.com/restaurant/661220059
55080,일미집,한식,한식/백반/한정식,한식 음식점업,명동,37.55961624,126.9845942,일미집 한식 한식 백반 한정식 한식 음식점업,명동%20일미집,https://m.place.naver.com/restaurant/1796888009
55131,탐앤탐스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56340378,126.9828675,탐앤탐스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20탐앤탐스,https://m.place.naver.com/restaurant/37275206
55552,본죽&비빔밥명동2호점,별식/퓨전요리,죽전문점,한식 음식점업,명동,37.56434124,126.9850054,본죽&비빔밥명동2호점 별식 퓨전요리 죽전문점 한식 음식점업,명동%20본죽&비빔밥명동2호점,https://m.place.naver.com/restaurant/11727079
55592,가쯔야,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56785395,126.981709,가쯔야 분식 라면김밥분식 분식 및 김밥 전문점,명동%20가쯔야,https://m.place.naver.com/restaurant/18001921
55702,다동분식,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56682522,126.9815306,다동분식 분식 라면김밥분식 분식 및 김밥 전문점,명동%20다동분식,https://m.place.naver.com/restaurant/18001916
55730,모스버거명동중앙점,패스트푸드,패스트푸드,그외 기타 음식점업,명동,37.56537854,126.9840858,모스버거명동중앙점 패스트푸드 패스트푸드 그외 기타 음식점업,명동%20모스버거명동중앙점,https://m.place.naver.com/restaurant/33831153
55813,일미집,한식,한식/백반/한정식,한식 음식점업,명동,37.55961683,126.9846621,일미집 한식 한식 백반 한정식 한식 음식점업,명동%20일미집,https://m.place.naver.com/restaurant/1796888009
56227,광화문양갈비,한식,갈비/삼겹살,한식 음식점업,명동,37.5685611,126.9759602,광화문양갈비 한식 갈비 삼겹살 한식 음식점업,명동%20광화문양갈비,https://m.place.naver.com/restaurant/36166323
56535,1988,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56683973,126.988458,1988 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%201988,https://m.place.naver.com/restaurant/38582020
56758,우리가든,한식,한식/백반/한정식,한식 음식점업,명동,37.56114962,126.9858297,우리가든 한식 한식 백반 한정식 한식 음식점업,명동%20우리가든,https://m.place.naver.com/restaurant/20077011
57132,매일호프,유흥주점,호프/맥주,기타 주점업,명동,37.56661886,126.9889703,매일호프 유흥주점 호프 맥주 기타 주점업,명동%20매일호프,https://m.place.naver.com/restaurant/1274049100
57224,할리스커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56845712,126.9795613,할리스커피 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20할리스커피,https://m.place.naver.com/restaurant/33811405
57631,아라마크시티,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56850765,126.9801945,아라마크시티 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20아라마크시티,https://m.place.naver.com/restaurant/1275180057
57979,동해일식,일식/수산물,음식점-일식,일식 음식점업,명동,37.56733037,126.9795088,동해일식 일식 수산물 음식점-일식 일식 음식점업,명동%20동해일식,https://m.place.naver.com/restaurant/18687708
58116,목우촌웰빙마을명동점,양식,정통양식/경양식,서양식 음식점업,명동,37.56481173,126.9841841,목우촌웰빙마을명동점 양식 정통양식 경양식 서양식 음식점업,명동%20목우촌웰빙마을명동점,https://m.place.naver.com/restaurant/11604425
58237,맛진미,한식,한식/백반/한정식,한식 음식점업,명동,37.55960918,126.9848206,맛진미 한식 한식 백반 한정식 한식 음식점업,명동%20맛진미,https://m.place.naver.com/restaurant/18040656
58746,에슬로우커피,한식,한식/백반/한정식,한식 음식점업,명동,37.56713039,126.9803492,에슬로우커피 한식 한식 백반 한정식 한식 음식점업,명동%20에슬로우커피,https://m.place.naver.com/restaurant/1011896219
58873,낭만,유흥주점,룸살롱/단란주점,일반유흥 주점업,명동,37.56704898,126.9886929,낭만 유흥주점 룸살롱 단란주점 일반유흥 주점업,명동%20낭만,https://m.place.naver.com/restaurant/1194565227
58919,흑돈가,한식,한식/백반/한정식,한식 음식점업,명동,37.56471871,126.9838457,흑돈가 한식 한식 백반 한정식 한식 음식점업,명동%20흑돈가,https://m.place.naver.com/restaurant/36310547
58970,스타벅스명동길점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56205085,126.9858515,스타벅스명동길점 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20스타벅스명동길점,https://m.place.naver.com/restaurant/36193132
59151,더식당,한식,한식/백반/한정식,한식 음식점업,명동,37.56225515,126.9855091,더식당 한식 한식 백반 한정식 한식 음식점업,명동%20더식당,https://m.place.naver.com/restaurant/37036817
59158,수원왕갈비,한식,갈비/삼겹살,한식 음식점업,명동,37.56306317,126.9851699,수원왕갈비 한식 갈비 삼겹살 한식 음식점업,명동%20수원왕갈비,https://m.place.naver.com/restaurant/13574892
59182,이삭토스트,분식,스낵,분식 및 김밥 전문점,명동,37.56085881,126.9834454,이삭토스트 분식 스낵 분식 및 김밥 전문점,명동%20이삭토스트,https://m.place.naver.com/restaurant/1549210088
59382,토다이,양식,패밀리레스토랑,서양식 음식점업,명동,37.56340378,126.9828675,토다이 양식 패밀리레스토랑 서양식 음식점업,명동%20토다이,https://m.place.naver.com/restaurant/13146169
59440,남산왕돈까스,양식,돈가스전문점,서양식 음식점업,명동,37.56471871,126.9838457,남산왕돈까스 양식 돈가스전문점 서양식 음식점업,명동%20남산왕돈까스,https://m.place.naver.com/restaurant/20938292
60010,카렝,일식/수산물,음식점-일식,일식 음식점업,명동,37.56563848,126.9881233,카렝 일식 수산물 음식점-일식 일식 음식점업,명동%20카렝,https://m.place.naver.com/restaurant/1887648759
60228,이베떡달라붙는떡볶이,분식,떡볶이전문,분식 및 김밥 전문점,명동,37.56225906,126.9838678,이베떡달라붙는떡볶이 분식 떡볶이전문 분식 및 김밥 전문점,명동%20이베떡달라붙는떡볶이,https://m.place.naver.com/restaurant/31130140
60388,명동솥뚜껑,한식,한식/백반/한정식,한식 음식점업,명동,37.56440041,126.9845519,명동솥뚜껑 한식 한식 백반 한정식 한식 음식점업,명동%20명동솥뚜껑,https://m.place.naver.com/restaurant/1219107497
60560,이영자삼계탕,닭/오리요리,삼계탕전문,한식 음식점업,명동,37.56777784,126.9822873,이영자삼계탕 닭 오리요리 삼계탕전문 한식 음식점업,명동%20이영자삼계탕,https://m.place.naver.com/restaurant/18002105
60632,또띠데,한식,한식/백반/한정식,한식 음식점업,명동,37.56563848,126.9881233,또띠데 한식 한식 백반 한정식 한식 음식점업,명동%20또띠데,https://m.place.naver.com/restaurant/38009221
60672,투썸플레이스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56647389,126.9794525,투썸플레이스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20투썸플레이스,https://m.place.naver.com/restaurant/36948845
