,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,star_point,blog_review_qty,blog_review_text
8860,주먹고기,한식,한식/백반/한정식,한식 음식점업,명동,37.56455257,126.9865307,주먹고기 한식 한식 백반 한정식 한식 음식점업,명동%20주먹고기,https://m.place.naver.com/restaurant/1751386432,4.19,4,[]
8945,죠샌드위치,패스트푸드,도너츠전문,제과점업,명동,37.56019644,126.9829111,죠샌드위치 패스트푸드 도너츠전문 제과점업,명동%20죠샌드위치,https://m.place.naver.com/restaurant/1880085658,4.36,3,[]
9603,빽다방을지로입구역점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56679211,126.9818706,빽다방을지로입구역점 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20빽다방을지로입구역점,https://m.place.naver.com/restaurant/1362045608,4.39,17,[]
9720,신가원설렁탕,한식,설렁탕집,한식 음식점업,명동,37.56651413,126.9799387,신가원설렁탕 한식 설렁탕집 한식 음식점업,명동%20신가원설렁탕,https://m.place.naver.com/restaurant/18004656,null,null,null
9773,공차명동점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56433647,126.9844509,공차명동점 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20공차명동점,https://m.place.naver.com/restaurant/31037151,4.37,114,"[<span class=""WoYOw"">신가원 설렁탕 무교본점입니다. 
정성으로 고아낸 진하고 담백한 설렁탕 한그릇 어떠십니까? 
정성껏 모시겠습니다. 감사합니다.</span>]"
10561,고봉삼계탕,닭/오리요리,삼계탕전문,한식 음식점업,명동,37.56471871,126.9838457,고봉삼계탕 닭 오리요리 삼계탕전문 한식 음식점업,명동%20고봉삼계탕,https://m.place.naver.com/restaurant/1534784282,4.4,124,[]
10675,명동간장게장해물탕,일식/수산물,해물찜/탕전문,한식 음식점업,명동,37.56526409,126.9833516,명동간장게장해물탕 일식 수산물 해물찜 탕전문 한식 음식점업,명동%20명동간장게장해물탕,https://m.place.naver.com/restaurant/37463745,null,null,null
10759,다동치킨골뱅이,유흥주점,호프/맥주,기타 주점업,명동,37.56685108,126.9813944,다동치킨골뱅이 유흥주점 호프 맥주 기타 주점업,명동%20다동치킨골뱅이,https://m.place.naver.com/restaurant/11663452,4.4,1,"[<span class=""WoYOw"">명동해물탕&amp;간장게장</span>]"
10778,을지황소곱창,한식,곱창/양구이전문,한식 음식점업,명동,37.56682501,126.988843,을지황소곱창 한식 곱창 양구이전문 한식 음식점업,명동%20을지황소곱창,https://m.place.naver.com/restaurant/35228622,4.13,17,"[<span class=""WoYOw"">삼성화재 뒷편에 위치한 치킨과 골뱅이 전문점. 인근 직장인들이 한 잔을 책임지는 다동의 명물. 여름밤이면 간이 야외 테이블에 술바다가 벌어진다.</span>]"
11116,스타벅스명동중앙로,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56376186,126.9857377,스타벅스명동중앙로 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20스타벅스명동중앙로,https://m.place.naver.com/restaurant/36639957,4.33,152,[]
11282,시청광장커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56584618,126.9787593,시청광장커피 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20시청광장커피,https://m.place.naver.com/restaurant/1825524447,4.45,79,"[<span class=""WoYOw"">주차불가능</span>]"
